Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
The Presidio,,1988,Montgomery & Vallejo Streets,"1136 Montgomery St, San Francisco, CA 94133",37.799712,-122.403911,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,106,23,3
Tales of the City,,2019,Montgomery & Vallejo Streets,"1136 Montgomery St, San Francisco, CA 94133",37.799712,-122.403911,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,106,23,3
Venom,,2018,Montgomery & Vallejo Streets,"1136 Montgomery St, San Francisco, CA 94133",37.799712,-122.403911,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,106,23,3
Vertigo,,1958,Ernie's Restaurant (847 Montgomery Street),"Ernie's Restaurant (847 Montgomery Street), San Francisco CA",37.796914,-122.403901,"Called the ""Essex Club"" in the film.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,106,6,3
Godzilla,,2014,Bush & Kearny,"380 Bush St, San Francisco, CA 94104",37.790922,-122.403899,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,108,8,3
Star Trek IV: The Voyage Home,,1986,500 Block of Pacific Avenue (Chinatown),"501 Pacific Ave, San Francisco, CA 94133",37.797145,-122.403851,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,106,23,3
Invasion of the Body Snatchers,,1978,32 Napier Lane,"32 Napier Lane, San Francisco CA",37.802601,-122.403851,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,18,23,3
Murder in the First,Season 1,2014,9 Calhoun Terrace,"9 Calhoun Terrace, San Francisco CA",37.80076,-122.40378,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,18,23,3
San Andreas,,2015,555 California,"555 California, San Francisco CA",37.792138,-122.403735,Characters walk out of broken window of 555 California out to Kearny St. Splinter unit films a car driving into the garage at 555 California,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,108,8,3
The Towering Inferno,,1974,Bank of America Building (555 California Street),"555 California Street, San Francisco CA",37.792138,-122.403735,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,108,8,3
Dirty Harry,,1971,Bank of America Building (555 California Street),"555 California Street, San Francisco CA",37.792138,-122.403735,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,108,8,3
Fearless,,1993,Bank of America Building (555 California Street),"555 California Street, San Francisco CA",37.792138,-122.403735,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,108,8,3
High Crimes,,2002,Bank of America Building (555 California Street),"555 California Street, San Francisco CA",37.792138,-122.403735,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,108,8,3
The Game,,1997,Bank of America Building (555 California Street),"555 California Street, San Francisco CA",37.792138,-122.403735,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,108,8,3
Sister Act 2: Back in the Habit,,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","555 California Street, San Francisco CA",37.792138,-122.403735,"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,108,8,3
Chance,Season 1 ep106,2016,Montgomery between Pacific and Broadway,"391 Broadway, San Francisco, CA 94133",37.798059,-122.403648,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,106,23,3
Ant-Man and the Wasp,,2018,Montgomery btwn Broadway and Pacific,"391 Broadway, San Francisco, CA 94133",37.798059,-122.403648,Car stunt scene,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,106,23,3
The Matrix Resurrections,,2021,155 California,"155 California, San Francisco CA",37.8033775,-122.4036285,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,108,8,3
The Matrix Resurrections,,2021,Montgomery between Washington and Bush,"420 Montgomery St, San Francisco, CA 94104",37.793098,-122.40362,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,108,8,3
The Presidio,,1988,Sansome Street (The Embarcadero),"1504-1580 Sansome St, San Francisco, CA 94111",37.795243,-122.403506,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,99,23,3
Americana,,2015,Coi Restaurant (373 Broadway),"373 Broadway, San Francisco CA",37.798105,-122.403393,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,106,23,3
